Sample,Date,Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
S30,January-1,4:50,1021.458008,6.955307007,995.9958546,245.410202
S31,January-1,5:00,1164.892944,7.098298073,1060.859712,235.2279053
S32,January-1,5:10,1073.332031,6.953630924,995.2509608,242.8726959
S33,January-1,5:20,1165.307983,7.249577999,1132.416861,244.8356934
S34,January-1,5:30,1177.98999,7.294691086,1154.365305,242.4815979
S35,January-1,5:40,1170.536011,7.376369953,1194.843099,247.9772034
S36,January-1,5:50,1145.536011,7.448554039,1231.430706,249.6829987
S37,January-1,6:00,1114.026978,7.23925209,1127.433206,248.401001
S38,January-1,6:10,1153.185059,7.329211235,1171.355044,244.6217041
S39,January-1,6:20,1125.331055,7.139705181,1080.139085,244.6318054
S40,January-1,6:30,1228.732056,7.474228859,1244.633534,245.7859955
S41,January-1,6:40,1021.79303,7.033174038,1030.992686,248.6522064
S42,January-1,6:50,957.3781738,6.886455059,965.6833344,244.6116943
S43,January-1,7:00,909.8878174,6.887821198,966.2791049,235.8482971
S44,January-1,7:10,1000.953979,7.216432095,1116.471899,232.8426971
S45,January-1,7:20,1024.478027,7.068597794,1047.170231,229.933197
S46,January-1,7:30,1009.533997,6.938295841,988.4519407,230.1367035
S47,January-1,7:40,899.492981,6.536687851,820.4166586,234.9338074
S48,January-1,7:50,725.1101074,6.180624962,686.6369422,232.8379059
S49,January-1,8:00,585.2593994,5.816825867,564.9276595,240.3287964
S50,January-1,8:10,443.9139099,5.450150967,454.7735871,238.126297
S51,January-1,8:20,565.2537842,5.81814909,565.3490932,235.800293
S52,January-1,8:30,644.0377808,6.130272865,668.8235693,224.9586945
S53,January-1,8:40,712.0588989,6.347077847,747.4606734,216.803894
S54,January-1,8:50,737.3947754,6.347436905,747.5951091,205.7852936
S55,January-1,9:00,725.868103,6.194368839,691.5463343,199.8484955
S56,January-1,9:10,408.997406,4.977198124,330.4176304,207.9978027
S57,January-1,9:20,628.4368286,5.959111214,611.2838365,210.954895
S58,January-1,9:30,716.1005859,6.21137619,697.6494744,215.6940002
S59,January-1,9:40,711.4956055,6.111453056,662.235163,220.8426056
S60,January-1,9:50,838.1519165,6.456322193,789.0114224,237.0653076
S61,January-1,10:00,881.0620728,6.666657925,872.7396259,235.6674957
S62,January-1,10:10,663.703125,6.16287899,680.3278917,229.3296967
S63,January-1,10:20,578.2615967,6.013167858,628.4425608,234.9006042
S64,January-1,10:30,465.6200867,5.561203003,486.7795676,230.4228058
S65,January-1,10:40,311.0509033,4.960731983,326.4110254,229.5375061
S66,January-1,10:50,230.0554962,4.60387516,244.3162442,231.7984924
S67,January-1,11:00,233.9906006,4.554533958,233.6327805,234.1056061
S68,January-1,11:10,175.5921936,4.26362896,173.5736631,228.7767029
S69,January-1,11:20,118.1331024,3.894139051,108.5712211,227.9389954
S70,January-1,11:30,142.2024994,4.038761139,130.2299896,224.4649963
S71,January-1,11:40,212.5661926,4.505650997,223.1967841,224.9505005
S72,January-1,11:50,222.6100006,4.543397903,231.2425073,229.127594
S73,January-1,12:00,194.1811981,4.323760986,185.5984796,227.0399933
S74,January-1,12:10,82.64074707,3.634437084,68.5028198,230.3146057
S75,January-1,12:20,75.8952179,3.705512047,78.39616535,233.9532928
S76,January-1,12:30,41.94723892,3.253968,29.28695563,233.0659027
S77,January-1,12:40,118.5345993,3.775136948,88.87136533,227.7534943
S78,January-1,12:50,250.7559052,4.693500996,264.1192574,229.8966064
S79,January-1,13:00,346.8644104,5.002939224,336.7219982,235.2794952
S80,January-1,13:10,416.4179077,5.364749908,430.921089,235.5852966
S81,January-1,13:20,331.9414978,5.016181946,339.9849402,229.9429016
S82,January-1,13:30,583.4799194,5.970407963,615.0556308,235.6952972
S83,January-1,13:40,776.5526733,6.655520916,868.1808449,241.4573975
S84,January-1,13:50,752.7263794,6.600903988,846.0294095,242.7821045
S85,January-1,14:00,589.0731201,5.981378078,618.7314427,234.9844055
S86,January-1,14:10,1109.128052,7.424593925,1219.199787,235.1472931
S87,January-1,14:20,1482.459961,8.186451912,1638.508909,238.4790955
S88,January-1,14:30,1523.430054,8.27493,1691.147039,237.0332031
S89,January-1,14:40,1572.170044,8.449202538,1796.76309,238.3323975
S90,January-1,14:50,1698.939941,8.575974464,1875.047197,235.6414032
S91,January-1,15:00,1616.845947,8.282259941,1695.538777,236.4613953
S92,January-1,15:10,1796.823975,8.734552383,1974.4758,234.3547974
S93,January-1,15:20,1885.860962,8.764103889,1993.170712,231.0016022
S94,January-1,15:30,2327.511963,9.669431686,2568.827129,227.6000977
S95,January-1,15:40,2499.162109,10.14109039,2876.753616,227.7315979
S96,January-1,15:50,2820.512939,10.77241993,3186.029883,225.2763977
S97,January-1,16:00,2812.279053,10.64752007,3133.259224,224.680603
S98,January-1,16:10,2530.447021,9.982661247,2781.274041,225.5195007
S99,January-1,16:20,2399.121094,9.874385834,2711.492458,227.2738037
S100,January-1,16:30,2335.587891,9.785479546,2651.341009,229.2554932
S101,January-1,16:40,2341.133057,9.614232063,2527.945451,230.7368927
S102,January-1,16:50,2391.8479,9.618504524,2531.14794,229.490799
S103,January-1,17:00,2118.389893,9.098683357,2207.79282,223.960907
S104,January-1,17:10,1866.845947,8.677425385,1938.478601,219.7937012
S105,January-1,17:20,1865.619019,8.774898529,2000.011716,219.0449066
S106,January-1,17:30,1862.447998,8.689981461,1946.373955,215.3352051
S107,January-1,17:40,1884.119019,8.631073952,1909.416256,216.2799988
S108,January-1,17:50,1855.776978,8.614569664,1899.100734,214.5290985
S109,January-1,18:00,1958.133057,9.21884346,2285.917032,212.1799011
S110,January-1,18:10,2228.24292,10.04951954,2822.50949,210.3085938
S111,January-1,18:20,2529.291016,10.31871033,2974.866796,210.5881042
S112,January-1,18:30,2788.25708,10.76675987,3183.72246,207.4813995
S113,January-1,18:40,2692.929932,10.55825043,3093.110672,208.5518951
S114,January-1,18:50,2535.353027,10.25072002,2938.394607,208.0106964
S115,January-1,19:00,2584.665039,10.46477032,3048.823833,205.7528992
S116,January-1,19:10,2960.183105,11.39078045,3393.645541,200.6542969
S117,January-1,19:20,3062.978027,11.56554031,3437.597135,198.1242981
S118,January-1,19:30,3024.39209,11.2802496,3362.668742,198.5381927
S119,January-1,19:40,3187.9729,11.33677959,3378.826271,200.4904022
S120,January-1,19:50,3387.228027,11.80463982,3488.248491,199.2469025
S121,January-1,20:00,3209.018066,11.3635397,3386.244486,199.8054962
S122,January-1,20:10,3272.665039,11.63259029,3452.881108,198.2677002
S123,January-1,20:20,3209.698975,11.44476032,3407.867876,195.6320038
S124,January-1,20:30,3134.518066,11.27190018,3360.225775,196.6611023
S125,January-1,20:40,2977.824951,11.05900955,3292.880925,196.5158997
S126,January-1,20:50,3431.772949,12.10377979,3537.173706,198.2570038
S127,January-1,21:00,3604.209961,12.92813969,3597.469467,201.5825958
S128,January-1,21:10,3601.327881,13.31941986,3600,201.9421997
S129,January-1,21:20,3604.426025,13.12152004,3600,203.5077972
S130,January-1,21:30,3604.391113,13.23544979,3600,202.6929932
S131,January-1,21:40,3604.337891,13.23589993,3600,202.9362946
S132,January-1,21:50,3554.687988,13.02956009,3600,201.2539063
S133,January-1,22:00,3479.407959,12.96393967,3597.794635,201.3408966
S134,January-1,22:10,3472.333008,12.90295029,3597.13106,200.9795074
S135,January-1,22:20,3491.510986,12.76634026,3593.704942,200.9960022
S136,January-1,22:30,3536.989014,12.89834976,3597.059449,200.5142059
S137,January-1,22:40,3528.658936,12.74211025,3592.814313,202.8952942
S138,January-1,22:50,3581.540039,12.31826019,3562.990095,202.841095
S139,January-1,23:00,3570.079102,12.41880989,3572.556143,202.4118042
S140,January-1,23:10,3597.604004,12.54298973,3582.204643,201.6253052
S141,January-1,23:20,3441.025879,12.67599964,3589.945634,199.3220978
S142,January-1,23:30,3373.969971,13.00304985,3600,197.1307068
S143,January-1,23:40,3369.812988,13.29767036,3600,196.4936066
S144,January-1,23:50,3375.903076,12.84405994,3595.984792,195.3150024
S145,January-2,0:00,3377.649902,12.70538998,3591.300461,196.0422058
S146,January-2,0:10,3374.423096,12.1833601,3547.627655,197.7438965
S147,January-2,0:20,3401.081055,12.20514011,3550.307222,196.8088074
S148,January-2,0:30,3469.412109,12.60188007,3585.959181,193.8157043
S149,January-2,0:40,3511.809082,12.84455013,3595.996394,194.3466034
S150,January-2,0:50,3536.759033,12.49705982,3578.911555,196.009201
S151,January-2,1:00,3467.808105,12.09607029,3536.105139,197.9526978
S152,January-2,1:10,3460.677002,12.19612026,3549.206917,201.330307
S153,January-2,1:20,3589.443115,12.55035019,3582.702554,201.1882019
S154,January-2,1:30,3527.718994,12.6156702,3586.762967,202.6235962
S155,January-2,1:40,3561.26709,13.10278034,3600,201.7666016
S156,January-2,1:50,3604.068115,13.68774986,3600,199.0195007
S157,January-2,2:00,3604.176025,14.10241985,3600,196.2552032
S158,January-2,2:10,3593.200928,14.39330959,3600,195.8798981
S159,January-2,2:20,3493.821045,14.07954979,3600,197.6403046
S160,January-2,2:30,3470.701904,14.05440044,3600,197.2447968
S161,January-2,2:40,3436.610107,13.51247025,3600,195.9954071
S162,January-2,2:50,3401.455078,13.71004963,3600,192.4197998
S163,January-2,3:00,3395.23291,13.7423296,3600,191.0137024
S164,January-2,3:10,3417.503906,13.14186001,3600,192.2046967
S165,January-2,3:20,3465.108887,12.86771011,3596.50506,192.771698
S166,January-2,3:30,3467.417969,12.84727001,3596.060138,192.4705048
S167,January-2,3:40,3522.406982,12.73211002,3592.421666,192.5679016
S168,January-2,3:50,3510.10791,12.51620007,3580.322941,194.9992065
S169,January-2,4:00,3513.844971,12.59866047,3585.767414,196.0422974
S170,January-2,4:10,3564.008057,13.23031998,3600,196.4087982
S171,January-2,4:20,3475.278076,13.0946703,3600,198.5249939
S172,January-2,4:30,3561.990967,12.91687965,3597.329407,198.0101013
S173,January-2,4:40,3521.554932,12.63354969,3587.762741,197.6634979
S174,January-2,4:50,3493.60791,12.82567024,3595.524457,201.1040955
S175,January-2,5:00,3555.304932,12.54162025,3582.111096,200.3634033
S176,January-2,5:10,3377.12793,12.10496998,3537.337786,196.9826965
S177,January-2,5:20,3479.626953,12.36250019,3567.394707,199.798996
S178,January-2,5:30,3539.112061,12.60391045,3586.079315,201.2702942
S179,January-2,5:40,3430.436035,12.21222019,3551.161616,198.9846039
S180,January-2,5:50,3301.917969,11.98762035,3520.011831,202.5711975
S181,January-2,6:00,3235.543945,11.67932987,3463.031603,200.7035065
S182,January-2,6:10,3519.022949,12.46971989,3576.798254,197.8733978
S183,January-2,6:20,3469.537109,12.49489975,3578.748756,201.1011047
S184,January-2,6:30,3296.186035,11.78983021,3485.417643,200.3565979
S185,January-2,6:40,3045.51001,10.90355015,3237.314957,199.4629059
S186,January-2,6:50,3444.741943,12.18807983,3548.214895,202.7460022
S187,January-2,7:00,3417.746094,11.97813034,3518.508247,199.4022064
S188,January-2,7:10,2807.613037,10.67446995,3144.977295,197.2297058
S189,January-2,7:20,2493.393066,9.69664669,2588.59196,200.3191986
S190,January-2,7:30,3215.196045,11.41759014,3400.782508,200.488205
S191,January-2,7:40,3589.590088,12.68927002,3590.573175,199.5281067
S192,January-2,7:50,3599.149902,13.05860043,3600,200.6078033
S193,January-2,8:00,3375.177002,11.52081966,3426.922472,195.8547058
S194,January-2,8:10,3346.980957,11.51231003,3424.84719,197.7467041
S195,January-2,8:20,3567.967041,12.41629982,3572.336603,199.1638031
S196,January-2,8:30,3519.264893,12.16014957,3544.686608,198.3968964
S197,January-2,8:40,3485.191895,11.67107964,3461.269666,194.6569977
S198,January-2,8:50,3145.562988,11.14585972,3321.545696,195.8325043
S199,January-2,9:00,2978.310059,10.77289963,3186.225079,193.1703949
S200,January-2,9:10,3179.008057,10.92975998,3247.07462,195.0997009
S201,January-2,9:20,3461.581055,12.14006042,3542.069502,198.2947998
S202,January-2,9:30,3082.549072,11.19556046,3337.205225,200.7570038
S203,January-2,9:40,3493.657959,12.94869041,3597.678446,204.0805969
S204,January-2,9:50,3601.045898,14.87942982,3600,197.5942993
S205,January-2,10:00,3597.564941,15.12405968,3600,196.3455963
S206,January-2,10:10,3602.172119,16.29367065,3600,196.8367004
S207,January-2,10:20,3601.99292,16.12397957,3600,192.2306061
S208,January-2,10:30,3600.791016,15.27460003,3600,190.949295
S209,January-2,10:40,3590.75,13.56672001,3600,192.9456024
S210,January-2,10:50,3601.845947,15.36779976,3600,194.7528076
S211,January-2,11:00,3601.870117,15.86174965,3600,195.0402985
S212,January-2,11:10,3591.655029,14.92051029,3600,197.9895935
S213,January-2,11:20,3579.024902,13.60853004,3600,201.4945068
S214,January-2,11:30,3598.131104,14.46385956,3600,200.4884033
S215,January-2,11:40,3525.333008,12.68828964,3590.527705,202.2259979
S216,January-2,11:50,3560.699951,13.55690002,3600,202.153595
S217,January-2,12:00,3537.676025,13.32281017,3600,203.2893982
S218,January-2,12:10,3491.291016,12.60700989,3586.261512,201.0937042
S219,January-2,12:20,3530.766113,12.31476021,3562.628404,197.5440979
S220,January-2,12:30,2915.839111,10.3801899,3006.71767,200.9197998
S221,January-2,12:40,2178.658936,9.11702919,2219.691985,201.0245056
S222,January-2,12:50,2244.412109,9.253190994,2308.322526,198.9759979
S223,January-2,13:00,1278.89502,9.072306633,2190.704763,198.2364044
S224,January-2,13:10,2832.934082,10.34463024,2988.424599,196.6472015
S225,January-2,13:20,3205.9729,11.10330963,3307.71074,200.1464996
S226,January-2,13:30,3149.284912,11.06910992,3296.300642,198.8968048
S227,January-2,13:40,3273.656006,11.32581043,3375.742901,201.1446075
S228,January-2,13:50,3114.099121,11.01513958,3277.761152,204.9272003
S229,January-2,14:00,3111.060059,10.90725994,3238.706158,204.813797
S230,January-2,14:10,3361.011963,11.76941013,3481.44923,209.778595
S231,January-2,14:20,3421.419922,11.87483025,3501.130346,209.6006012
S232,January-2,14:30,3520.148926,12.16926003,3545.851555,208.3181
S233,January-2,14:40,3589.427002,12.82061958,3595.389466,211.1817932
S234,January-2,14:50,3495.115967,12.57161999,3584.095307,209.4647064
S235,January-2,15:00,3298.761963,11.39929962,3395.929165,205.625
S236,January-2,15:10,2894.440918,10.54543018,3087.174334,200.6107025
S237,January-2,15:20,3486.628906,12.30932999,3562.063389,202.0561981
S238,January-2,15:30,3455.24707,12.1683197,3545.731948,203.7207031
S239,January-2,15:40,3556.785889,12.28707981,3559.699203,204.6085968
S240,January-2,15:50,3375.582031,12.01319027,3523.986209,201.7415009
S241,January-2,16:00,3493.979004,12.21352959,3551.318734,201.7156067
S242,January-2,16:10,3549.147949,12.93774033,3597.57459,199.9685059
S243,January-2,16:20,3483.315918,13.66942024,3600,203.870697
S244,January-2,16:30,3589.858887,13.69785976,3600,204.8023071
S245,January-2,16:40,3584.235107,12.75835991,3593.421089,202.6508026
S246,January-2,16:50,3599.008057,12.76517963,3593.664238,201.2570953
S247,January-2,17:00,3602.637939,13.07721996,3600,203.4407043
S248,January-2,17:10,3550.563965,12.59340954,3585.451317,205.1535034
S249,January-2,17:20,3552.782959,12.51366997,3580.139581,205.008194
S250,January-2,17:30,3585.010986,12.53439999,3581.613183,204.1203003
S251,January-2,17:40,3421.176025,11.96442986,3516.3102,201.9989014
S252,January-2,17:50,3406.040039,11.94577026,3513.264349,194.3786926
S253,January-2,18:00,3515.610107,12.20707989,3550.542117,189.5238037
S254,January-2,18:10,3515.965088,12.2751503,3558.399068,190.5794983
S255,January-2,18:20,3475.418945,12.72264004,3592.036307,187.6125031
S256,January-2,18:30,3471.156982,12.26537037,3557.31619,189.4371948
S257,January-2,18:40,3281.754883,11.70368958,3468.159913,192.2619019
S258,January-2,18:50,2955.11499,10.96352959,3259.412905,190.4571991
S259,January-2,19:00,3061.735107,11.29796982,3367.805139,192.8582001
S260,January-2,19:10,2679.110107,10.66594982,3141.292611,194.0843964
S261,January-2,19:20,2721.081055,10.8332901,3210.350601,195.2017975
S262,January-2,19:30,2649.136963,10.57837009,3102.339998,195.3432007
S263,January-2,19:40,2707.74292,10.38854027,3010.962279,201.797699
S264,January-2,19:50,2508.832031,10.08041954,2841.099422,204.2073975
S265,January-2,20:00,2316.647949,9.838738441,2687.688082,199.747406
S266,January-2,20:10,3081.542969,11.43999958,3406.637064,200.2402954
S267,January-2,20:20,3397.638916,11.94402981,3512.977172,201.1663971
S268,January-2,20:30,3391.716064,11.85929012,3498.353994,201.7106018
S269,January-2,20:40,3587.510986,12.81147957,3595.135782,201.3484955
S270,January-2,20:50,3603.112061,12.91353989,3597.284381,201.6768951
S271,January-2,21:00,3591.093018,12.72832012,3592.269026,202.4132996
S272,January-2,21:10,3221.044922,11.66357994,3459.656972,202.6618958
S273,January-2,21:20,2887.733887,11.0952301,3305.038612,204.061203
S274,January-2,21:30,2364.534912,10.16094971,2888.183469,203.3379059
S275,January-2,21:40,1935.847046,9.202415466,2275.211448,197.8013
S276,January-2,21:50,1549.480957,8.539284706,1852.273851,195.5061035
S277,January-2,22:00,1625.755981,8.809141159,2021.754239,187.4846039
S278,January-2,22:10,1994.222046,9.608460426,2523.60898,188.0238953
S279,January-2,22:20,2362,9.844923973,2691.848533,190.6604004
S280,January-2,22:30,2097.771973,9.338670731,2364.198743,196.7335968
S281,January-2,22:40,1564.590942,8.424916267,1781.899877,197.0158997
S282,January-2,22:50,1107.474976,7.656233788,1339.713949,188.6903992
S283,January-2,23:00,1303.116943,8.144581795,1613.847713,181.6596069
S284,January-2,23:10,1561.182007,8.54713726,1857.140175,173.5366974
S285,January-2,23:20,1544.999023,8.381804466,1755.627598,171.3834076
S286,January-2,23:30,1456.738037,7.850449085,1445.553534,179.8197937
S287,January-2,23:40,1795.644043,8.656551361,1925.374082,188.2382965
S288,January-2,23:50,2773.291016,10.92311954,3244.617174,179.039093
S289,January-3,0:00,2782.568115,10.4051199,3019.332696,176.9255981
S290,January-3,0:10,2446.424072,9.498130798,2468.761378,174.677002
S291,January-3,0:20,3412.39209,11.93025017,3510.684928,180.6725006
S292,January-3,0:30,3255.337891,11.07629013,3298.717792,183.8755035
S293,January-3,0:40,2796.876953,10.45788002,3045.466801,192.1911011
S294,January-3,0:50,2467.954102,9.791149139,2655.255241,197.104599
S295,January-3,1:00,1278.886963,7.626486778,1323.911052,202.940506
S296,January-3,1:10,1042.537964,7.287635803,1150.913828,207.3871002
S297,January-3,1:20,609.0761719,6.228209019,703.7205269,216.9989014
S298,January-3,1:30,175.4407043,4.47162199,216.0170723,222.5090942
S299,January-3,1:40,112.1109009,4.127829075,147.1041396,215.4514008
S300,January-3,1:50,271.9171143,5.032844067,344.1094784,202.5102997
S301,January-3,2:00,737.4487915,6.267045021,717.8434981,211.2003021
S302,January-3,2:10,1375.579956,7.763337135,1397.52319,193.6107025
S303,January-3,2:20,1520.890015,8.21955204,1658.119112,172.135498
S304,January-3,2:30,1349.112061,7.974888802,1515.649475,168.3569031
S305,January-3,2:40,889.1298218,6.794364929,926.0444806,171.1295013
S306,January-3,2:50,412.115509,5.536108017,479.4472407,162.7037964
S307,January-3,3:00,444.6036072,5.491714954,466.6197137,150.2816925
S308,January-3,3:10,655.7307129,6.076754093,650.187023,149.6408997
S309,January-3,3:20,882.5654297,6.69093895,882.7282325,152.2225037
S310,January-3,3:30,998.3845825,6.848011971,949.0116113,157.1643066
S311,January-3,3:40,1193.395996,7.759384155,1395.364787,152.699707
S312,January-3,3:50,1122.712036,7.417626858,1215.659509,152.076004
S313,January-3,4:00,1214.125977,7.472226143,1243.600054,154.7837982
S314,January-3,4:10,1086.307007,7.080772877,1052.768027,160.2183075
S315,January-3,4:20,1060.603027,7.053721905,1040.356847,165.8153992
S316,January-3,4:30,1451.713989,7.766314983,1399.150382,170.8444977
S317,January-3,4:40,1361.459961,7.833246231,1435.998878,173.0240936
S318,January-3,4:50,1490.569946,7.959300995,1506.776853,173.9763947
S319,January-3,5:00,1153.139038,7.283742905,1149.012424,176.7931976
S320,January-3,5:10,953.9760132,7.001252174,1016.552582,178.0930023
S321,January-3,5:20,799.0856934,6.758135796,910.7282546,174.0330048
S322,January-3,5:30,616.2548218,6.179992199,686.4114027,167.9960022
S323,January-3,5:40,646.9244995,6.301719189,730.5901706,168.8119965
S324,January-3,5:50,1323.682007,7.517776966,1267.134969,184.7017975
S325,January-3,6:00,1568.885986,8.094202995,1584.395551,194.0092926
S326,January-3,6:10,1580.902954,7.854953766,1448.061049,197.8014984
S327,January-3,6:20,1495.180054,7.719468117,1373.675076,191.2086945
S328,January-3,6:30,2063.868896,8.847901344,2046.438946,195.0639038
S329,January-3,6:40,2368.76001,9.631019592,2540.491731,198.074707
S330,January-3,6:50,2516.419922,9.767664909,2638.971731,191.838501
S331,January-3,7:00,2108.770996,9.185004234,2263.873095,190.0070038
S332,January-3,7:10,2568.111084,9.927650452,2746.29034,179.3226929
S333,January-3,7:20,3445.219971,12.03275967,3526.952507,175.9355011
S334,January-3,7:30,2994.106934,10.87308979,3225.769174,180.7583008
S335,January-3,7:40,2594.937012,10.38061047,3006.931915,177.4212036
S336,January-3,7:50,2326.825928,10.34302044,2987.588083,164.6313934
S337,January-3,8:00,1941.463989,9.283791542,2328.307526,157.3659973
S338,January-3,8:10,1581.487061,8.263951302,1684.577838,151.1777039
S339,January-3,8:20,1013.286987,7.161077023,1090.179344,144.4230042
S340,January-3,8:30,375.6176147,5.502151966,469.6191644,145.3318024
S341,January-3,8:40,198.1511993,4.645584106,253.4672425,155.7653046
S342,January-3,8:50,87.44045258,3.847867012,100.642022,162.271698
S343,January-3,9:00,189.1378021,4.553710938,233.4558636,148.0536041
S344,January-3,9:10,434.4317932,5.735952854,539.5070619,136.6712036
S345,January-3,9:20,336.5007935,5.057969093,350.3694191,139.4640045
S346,January-3,9:30,296.6101074,4.922440052,317.1718028,141.7938995
S347,January-3,9:40,92.9240036,3.821350098,96.25248176,148.5747986
S348,January-3,9:50,85.70230103,3.580841064,61.57702143,165.8957062
S349,January-3,10:00,309.5114136,4.716145039,269.2057367,187.6051941
S350,January-3,10:10,381.1726074,5.080855846,356.114453,188.4362946
S351,January-3,10:20,417.2662964,5.343267918,425.0226087,202.2389984
S352,January-3,10:30,446.343811,5.452712059,455.4989836,201.0330963
S353,January-3,10:40,206.6020966,4.29698801,180.2207304,191.4851074
S354,January-3,10:50,251.3757019,4.736260891,273.7530825,183.4333954
S355,January-3,11:00,275.0136108,4.780562878,283.8646662,187.9405975
S356,January-3,11:10,314.2744141,4.894141197,310.4131199,180.8480072
S357,January-3,11:20,238.7823029,4.487487793,219.355975,185.8578033
S358,January-3,11:30,409.0264893,5.314783096,417.2631565,180.8168945
S359,January-3,11:40,506.4703064,5.711400986,531.9193571,186.1788025
S360,January-3,11:50,427.9566956,5.374886036,433.7182755,196.3742065
S361,January-3,12:00,952.2675781,6.895505905,969.6346499,193.9367065
S362,January-3,12:10,1019.905029,7.240921021,1128.237686,187.7236023
S363,January-3,12:20,1015.357971,6.709988117,890.6123118,185.273407
S364,January-3,12:30,979.7229004,6.851963043,950.7168123,183.7971039
S365,January-3,12:40,379.4078979,5.078312874,355.4740901,185.1383972
S366,January-3,12:50,841.5977783,6.521288872,814.34348,189.263504
S367,January-3,13:00,672.6187744,6.171179771,683.2747912,189.2765045
S368,January-3,13:10,452.0786133,5.449243069,454.5165791,190.636795
S369,January-3,13:20,558.9979248,5.851128101,575.9105762,196.9326935
S370,January-3,13:30,331.7192993,5.094088078,359.454764,193.4658051
S371,January-3,13:40,212.1006927,4.598594189,243.1654974,197.9337006
S372,January-3,13:50,79.72102356,3.629702091,67.87244481,199.7156067
S373,January-3,14:00,183.0128021,4.472650051,216.232972,205.3706055
S374,January-3,14:10,279.1960144,4.918616772,316.2552558,204.3323059
S375,January-3,14:20,460.2166138,5.625835896,505.9378767,209.3771057
S376,January-3,14:30,647.7111206,6.316774845,736.1652234,211.6537018
S377,January-3,14:40,685.0780029,6.237164974,706.9630418,212.0509033
S378,January-3,14:50,709.8339844,6.449378014,786.3313199,211.607605
S379,January-3,15:00,493.3555908,5.782717228,554.1258994,212.3511047
S380,January-3,15:10,366.0793152,5.346119881,425.803377,216.8318024
S381,January-3,15:20,183.0379028,4.379333019,196.8860292,220.0410004
S382,January-3,15:30,7.347679138,3.011370897,16.3742125,238.6905975
S383,January-3,15:40,0,3.743307114,83.98626485,245.0682068
S384,January-3,15:50,12.34420013,3.24625206,28.73127208,238.0765076
S385,January-3,16:00,-0.393067598,2.185888052,0,238.4102936
S386,January-3,16:10,0,2.142015934,0,234.7624054
S387,January-3,16:20,0,2.501405954,0,223.3088074
S388,January-3,16:30,0,2.668577909,0,226.0516968
S389,January-3,16:40,0,3.034003019,17.18059304,221.0865021
S390,January-3,16:50,0,3.197354078,25.43122108,232.6795959
S391,January-3,17:00,0,3.907810926,110.9796039,241.9730988
S392,January-3,17:10,65.98790741,3.801294088,93.00718811,221.5258942
S393,January-3,17:20,157.8495026,4.43715477,208.8146524,225.1553955
S394,January-3,17:30,50.42205048,3.677906036,74.4575207,220.4692993
S395,January-3,17:40,88.1881485,4.115369797,144.7212631,222.5281067
S396,January-3,17:50,242.3132935,4.987364769,332.9015993,220.7682037
S397,January-3,18:00,262.8019104,4.871101856,304.9535561,222.9488983
S398,January-3,18:10,584.6671143,5.921298981,598.7577677,212.7292938
S399,January-3,18:20,298.586792,5.030583858,343.5487361,216.0464935
S400,January-3,18:30,279.7724915,4.997858047,335.4735677,206.8820038
S401,January-3,18:40,823.4796143,6.434377193,780.5598676,208.842804
S402,January-3,18:50,883.265625,6.996636868,1014.475559,212.2098999
S403,January-3,19:00,1155.17395,7.625429153,1323.35127,205.5773926
